genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
"Romance, Thriller, Western","fire, bounty hunter, shotgun, horseback riding, horse, cabin, frontier, outlaw, rifle, unrequited love, death of father, native american, shootout, search, pistol, death by accident, violence, ireland, drinking, pursuit, shot through a wall, flaming arrow, dream sequence, flashback, shot in the heart",en,"In the Old West, a 17-year-old Scottish boy teams up with a mysterious gunman to find the woman with whom he is infatuated.",Wanted Dead or Dead,Slow West,6.6,"Slow West In the Old West, a 17-year-old Scottish boy teams up with a mysterious gunman to find the woman with whom he is infatuated. Wanted Dead or Dead Romance, Thriller, Western fire, bounty hunter, shotgun, horseback riding, horse, cabin, frontier, outlaw, rifle, unrequited love, death of father, native american, shootout, search, pistol, death by accident, violence, ireland, drinking, pursuit, shot through a wall, flaming arrow, dream sequence, flashback, shot in the heart"
"Comedy, Horror, Fantasy","new york, monster, skyscraper, mutant, restaurant, human animal relationship, mutation, tv station, dying and death, water, research station, fur, bat, current, electric shock, cleverness, gremlin, cowardliness",en,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",Here they grow again.,Gremlins 2: The New Batch,6.2,"Gremlins 2: The New Batch Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy! Here they grow again. Comedy, Horror, Fantasy new york, monster, skyscraper, mutant, restaurant, human animal relationship, mutation, tv station, dying and death, water, research station, fur, bat, current, electric shock, cleverness, gremlin, cowardliness"
"Drama, Action, Thriller, Science Fiction","police state, hippie, rebel, miracle, future, dystopia, chaos, aging, childlessness, faith, survival, birth, dying",en,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",The future's a thing of the past.,Children of Men,7.4,"Children of Men In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind. The future's a thing of the past. Drama, Action, Thriller, Science Fiction police state, hippie, rebel, miracle, future, dystopia, chaos, aging, childlessness, faith, survival, birth, dying"
"Action, Crime, Horror, Thriller","snake, suspense, fbi agent, death, animal attack, first class, duringcreditsstinger, snake attack, witness to a crime, plane",en,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.","At 30,000 feet, snakes aren't the deadliest thing on this plane.",Snakes on a Plane,5.1,"Snakes on a Plane America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors. At 30,000 feet, snakes aren't the deadliest thing on this plane. Action, Crime, Horror, Thriller snake, suspense, fbi agent, death, animal attack, first class, duringcreditsstinger, snake attack, witness to a crime, plane"
"Horror, Action","suicide, hero, vampire, bite, fistfight, supernatural, vampire hunter, superhero, rivalry, tragic hero, good vs evil, one man army, extreme violence, martial arts master, scientist, violence, disarming someone, blade, machine gun, english subtitles in original, hypodermic needle, microscope, secret headquarters, bullet dodging, bullet time, kicked in the groin, x rayed skeleton, mouth guard, escapade, imaginary, deadly, master warrior, supernatural ability, fang vamp",en,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",Part Man. Part Vampire. All Hero.,Blade,6.5,"Blade When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra. Part Man. Part Vampire. All Hero. Horror, Action suicide, hero, vampire, bite, fistfight, supernatural, vampire hunter, superhero, rivalry, tragic hero, good vs evil, one man army, extreme violence, martial arts master, scientist, violence, disarming someone, blade, machine gun, english subtitles in original, hypodermic needle, microscope, secret headquarters, bullet dodging, bullet time, kicked in the groin, x rayed skeleton, mouth guard, escapade, imaginary, deadly, master warrior, supernatural ability, fang vamp"
"Action, Drama, Thriller","ship, hijacking, somalia, fisherman, blood, poverty, pirate, terrorism, commando, hijack, cargo ship, ship captain, ship hijacking, somali, commando unit",en,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Out here survival is everything.,Captain Phillips,7.6,"Captain Phillips The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years. Out here survival is everything. Action, Drama, Thriller ship, hijacking, somalia, fisherman, blood, poverty, pirate, terrorism, commando, hijack, cargo ship, ship captain, ship hijacking, somali, commando unit"
"Drama, Science Fiction, Thriller","virtual reality, dystopia, moral conflict, computer, loneliness, water shortage, teacher",en,"Set in a near-future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, three strangers risk their lives to connect with each other and break the barriers of technology.",Crossing the border just got easier. Plug into the new American dream.,Sleep Dealer,6.0,"Sleep Dealer Set in a near-future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, three strangers risk their lives to connect with each other and break the barriers of technology. Crossing the border just got easier. Plug into the new American dream. Drama, Science Fiction, Thriller virtual reality, dystopia, moral conflict, computer, loneliness, water shortage, teacher"
"Adventure, Drama, Action, History","child abuse, sister sister relationship, prosecution, australia, approved school , based on true story, independent film, tracker, survival, outback, colonialism, australian aborigine, australian outback, aboriginal, aborigine, perth",en,"In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback.","Follow Your Heart, Follow The Fence",Rabbit-Proof Fence,6.8,"Rabbit-Proof Fence In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback. Follow Your Heart, Follow The Fence Adventure, Drama, Action, History child abuse, sister sister relationship, prosecution, australia, approved school , based on true story, independent film, tracker, survival, outback, colonialism, australian aborigine, australian outback, aboriginal, aborigine, perth"
"Comedy, Romance, Family","talking animal, scientist, german accent, ostrich, monkey, bullfrog, car dealership, duringcreditsstinger",en,"A comedy about a zookeeper who might be great with animals, but he doesn't know anything about the birds and the bees. The man can't find love, so he decides to quit his job at the zoo, but his animal friends try to stop him and teach him that Mother Nature knows best when it comes to love.",Welcome to his jungle.,Zookeeper,5.3,"Zookeeper A comedy about a zookeeper who might be great with animals, but he doesn't know anything about the birds and the bees. The man can't find love, so he decides to quit his job at the zoo, but his animal friends try to stop him and teach him that Mother Nature knows best when it comes to love. Welcome to his jungle. Comedy, Romance, Family talking animal, scientist, german accent, ostrich, monkey, bullfrog, car dealership, duringcreditsstinger"
Documentary,,en,"Two versions of the American dream now stand in sharp contrast. One views the money you earned as yours and best allocated by you; the other believes that an elite in Washington knows best how to allocate your wealth. One champions the traditional American dream, which has played out millions of times through generations of Americans, of improving one's lot in life and even daring to dream and build big. The other holds that there is no end to the ""good"" the government can do by taking and spending other peoples' money in an ever-burgeoning list of programs. The documentary film I Want Your Money exposes the high cost in lost freedom and in lost opportunity to support a Leviathan-like bureaucratic state.",The film contrasts two views of role that the federal government should play in our daily lives using the words and actions of Ronald Reagan and Barack Obama.,I Want Your Money,3.8,"I Want Your Money Two versions of the American dream now stand in sharp contrast. One views the money you earned as yours and best allocated by you; the other believes that an elite in Washington knows best how to allocate your wealth. One champions the traditional American dream, which has played out millions of times through generations of Americans, of improving one's lot in life and even daring to dream and build big. The other holds that there is no end to the ""good"" the government can do by taking and spending other peoples' money in an ever-burgeoning list of programs. The documentary film I Want Your Money exposes the high cost in lost freedom and in lost opportunity to support a Leviathan-like bureaucratic state. The film contrasts two views of role that the federal government should play in our daily lives using the words and actions of Ronald Reagan and Barack Obama. Documentary "
Comedy,"bet, divorce, gender, battle of the sexes, life competition",en,"A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!""","A battle of the sexes, winner takes all.",The Opposite Sex,4.1,"The Opposite Sex A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!"" A battle of the sexes, winner takes all. Comedy bet, divorce, gender, battle of the sexes, life competition"
"Fantasy, Horror, Action","refugee, mass murder, habor, car journey, department store, blackout, bus ride, pregnancy and birth, dying and death, bite, to shoot dead, lorry, munition, basement garage, guard, zombie, dog, car, duringcreditsstinger",en,"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name.","When the undead rise, civilization will fall.",Dawn of the Dead,6.8,"Dawn of the Dead A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name. When the undead rise, civilization will fall. Fantasy, Horror, Action refugee, mass murder, habor, car journey, department store, blackout, bus ride, pregnancy and birth, dying and death, bite, to shoot dead, lorry, munition, basement garage, guard, zombie, dog, car, duringcreditsstinger"
"Thriller, Drama","factory, insomnia, post it, machinist, cleaning bathroom tile, osha, taunting, manhole, one armed man, torment, department of motor vehicles, mother's day, losing weight, old photograph, dostoevsky",en,"The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia...",A little guilt goes a long way...,The Machinist,7.3,"The Machinist The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia... A little guilt goes a long way... Thriller, Drama factory, insomnia, post it, machinist, cleaning bathroom tile, osha, taunting, manhole, one armed man, torment, department of motor vehicles, mother's day, losing weight, old photograph, dostoevsky"
"Adventure, Action, Animation","denmark, nordic mythology, lie, pride and vanity, folk hero, human weakness, viking, alienation, festival hall, sin, royalty, curse, battle, ancient world, adult animation, motion capture",en,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",Evil breeds pain.,Beowulf,5.5,"Beowulf 6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain. Evil breeds pain. Adventure, Action, Animation denmark, nordic mythology, lie, pride and vanity, folk hero, human weakness, viking, alienation, festival hall, sin, royalty, curse, battle, ancient world, adult animation, motion capture"
"Action, Crime, Drama, Thriller","assassin, secret identity, intelligence, soviet union, russia, celibacy, hitman, secret society, power, power takeover, adversary, government, execution, violence, killer, based on video game, secret formula",en,"The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",Assassin 47,Hitman,5.9,"Hitman The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue. Assassin 47 Action, Crime, Drama, Thriller assassin, secret identity, intelligence, soviet union, russia, celibacy, hitman, secret society, power, power takeover, adversary, government, execution, violence, killer, based on video game, secret formula"
"Drama, Thriller","police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness",en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.4,"Copycat An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past. One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next. Drama, Thriller police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness"
"War, Adventure, Drama, Romance","islam, sex, loyalty, bravery, army, revenge, honor, murder, escape, soldier, battle, church, violence, britain, slave, colonialism, military, imperialism",en,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.","Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",The Four Feathers,6.5,"The Four Feathers The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward. Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves. War, Adventure, Drama, Romance islam, sex, loyalty, bravery, army, revenge, honor, murder, escape, soldier, battle, church, violence, britain, slave, colonialism, military, imperialism"
"Comedy, Romance","handcuffs, sister sister relationship, spanner, blow job, stag night, wedding",en,"With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",Forever hold your piece.,American Wedding,6.0,"American Wedding With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear. Forever hold your piece. Comedy, Romance handcuffs, sister sister relationship, spanner, blow job, stag night, wedding"
"Comedy, Mystery","upper class, prostitute, journalist, drowning, newspaper, magic, tarot cards, magic show, lordship, suspicion of murder, headline, funeral, investigation, daughter, music instrument, afterlife, swimming pool, murder, wealth, american, united kingdom",en,"An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.",The perfect man. The perfect story. The perfect murder.,Scoop,6.4,"Scoop An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls. The perfect man. The perfect story. The perfect murder. Comedy, Mystery upper class, prostitute, journalist, drowning, newspaper, magic, tarot cards, magic show, lordship, suspicion of murder, headline, funeral, investigation, daughter, music instrument, afterlife, swimming pool, murder, wealth, american, united kingdom"
Drama,"gay, lgbt",en,"In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father.",Do We Stand Out or Do We Fit In?,Tiger Orange,6.4,"Tiger Orange In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father. Do We Stand Out or Do We Fit In? Drama gay, lgbt"
"Action, Thriller, Crime","brazil, fbi, freedom, escape from prison, car crash, heist, organized crime, on the run, money, fugitive, police chase, escaped convict, car, imax, automobile racing, duringcreditsstinger",en,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",Get the Fifth Gear.,Fast Five,7.1,"Fast Five Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. Get the Fifth Gear. Action, Thriller, Crime brazil, fbi, freedom, escape from prison, car crash, heist, organized crime, on the run, money, fugitive, police chase, escaped convict, car, imax, automobile racing, duringcreditsstinger"
"Animation, Adventure, Comedy, Family","car race, car journey, village and town, auto, route 66, wrecker, porsche, retirement, media, friendship, sport, anthropomorphism, los angeles, road movie, aftercreditsstinger, duringcreditsstinger",en,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",Ahhh... it's got that new movie smell.,Cars,6.6,"Cars Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters. Ahhh... it's got that new movie smell. Animation, Adventure, Comedy, Family car race, car journey, village and town, auto, route 66, wrecker, porsche, retirement, media, friendship, sport, anthropomorphism, los angeles, road movie, aftercreditsstinger, duringcreditsstinger"
"Horror, Mystery, Science Fiction","commercial, factory, gas station, curfew, mask, halloween, hospital, doctor, death, surveillance camera, stonehenge",en,"Dr. Daniel Challis and Ellie Grimbridge stumble onto a gruesome murder scheme when Ellie's novelty-salesman father, Harry, is killed while in possession of a strange mask made by the Silver Shamrock mask company. The company's owner, Conal Cochran, wants to return Halloween to its darker roots using his masks -- and his unspeakable scheme would unleash death and destruction across the country.",...and now the earth will run with blood again!,Halloween III: Season of the Witch,5.0,"Halloween III: Season of the Witch Dr. Daniel Challis and Ellie Grimbridge stumble onto a gruesome murder scheme when Ellie's novelty-salesman father, Harry, is killed while in possession of a strange mask made by the Silver Shamrock mask company. The company's owner, Conal Cochran, wants to return Halloween to its darker roots using his masks -- and his unspeakable scheme would unleash death and destruction across the country. ...and now the earth will run with blood again! Horror, Mystery, Science Fiction commercial, factory, gas station, curfew, mask, halloween, hospital, doctor, death, surveillance camera, stonehenge"
"Fantasy, Action, Adventure, Comedy","brother brother relationship, turtle, sequel, based on comic book, ninja, rat",en,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",Raise some shell.,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,"Teenage Mutant Ninja Turtles: Out of the Shadows After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang. Raise some shell. Fantasy, Action, Adventure, Comedy brother brother relationship, turtle, sequel, based on comic book, ninja, rat"
Documentary,"usa, capitalism, department store, protest, community, middle class, big business, retail trade, consumerism, business, economics, corporation, walmart",en,"This documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight Goliath. From a family business owner in the Midwest to a preacher in California, from workers in Florida to a poet in Mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and American values.",,Wal-Mart: The High Cost of Low Price,6.9,"Wal-Mart: The High Cost of Low Price This documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight Goliath. From a family business owner in the Midwest to a preacher in California, from workers in Florida to a poet in Mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and American values.  Documentary usa, capitalism, department store, protest, community, middle class, big business, retail trade, consumerism, business, economics, corporation, walmart"
Comedy,"kidnapping, traitor, virgin, prince, princess, revenge, minotaur, knight, dragon, wedding, king, sword and sorcery",en,"A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",Get your quest on.,Your Highness,5.2,"Your Highness A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom. Get your quest on. Comedy kidnapping, traitor, virgin, prince, princess, revenge, minotaur, knight, dragon, wedding, king, sword and sorcery"
"Action, Comedy, Drama","robbery, fool, studies, house, uncle, independent film, money",en,"John and his girlfriend have vowed to marry once they save $30,000 for their dream house. But the minute they achieve their financial goal, John finds out his niece has been accepted at Harvard, and he's reminded of his promise to pay for her tuition (nearly $30,000). John's friend Duff convinces him to turn to petty crime to make the payment … but Duff's hare-brained schemes spin quickly out of control.",Their intentions were honorable. Their methods were criminal.,Stealing Harvard,4.4,"Stealing Harvard John and his girlfriend have vowed to marry once they save $30,000 for their dream house. But the minute they achieve their financial goal, John finds out his niece has been accepted at Harvard, and he's reminded of his promise to pay for her tuition (nearly $30,000). John's friend Duff convinces him to turn to petty crime to make the payment … but Duff's hare-brained schemes spin quickly out of control. Their intentions were honorable. Their methods were criminal. Action, Comedy, Drama robbery, fool, studies, house, uncle, independent film, money"
"Action, Crime, Drama, Thriller","police, los angeles",en,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.",Their city. Their rules. No prisoners.,Street Kings,6.3,"Street Kings Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him. Their city. Their rules. No prisoners. Action, Crime, Drama, Thriller police, los angeles"
"Action, Drama, Science Fiction, Thriller","fbi, hydrogen bomb, secret lab, energy supply, conspiracy, aftercreditsstinger",en,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Reaction Time 8-4-96,Chain Reaction,5.3,"Chain Reaction Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason. Reaction Time 8-4-96 Action, Drama, Science Fiction, Thriller fbi, hydrogen bomb, secret lab, energy supply, conspiracy, aftercreditsstinger"
Drama,,en,"Fifteen years ago, their Washington Heights neighborhood was dubbed the crack-cocaine capital of the world, but today it is transforming into one of the most vibrant, Spanish-speaking communities in the United States. While the drug dealers continue to disappear, their violent legacy still casts a shadow over the neighborhood and its residents. Junior, an ex-convict struggling to get his life back on track, is a product of this legacy. His younger brother Manny, the salutatorian of his high school class, embodies the hope of the future. On the night of his graduation party, Manny finds himself faced with an ill-fated decision that could change his life forever",,Manito,5.5,"Manito Fifteen years ago, their Washington Heights neighborhood was dubbed the crack-cocaine capital of the world, but today it is transforming into one of the most vibrant, Spanish-speaking communities in the United States. While the drug dealers continue to disappear, their violent legacy still casts a shadow over the neighborhood and its residents. Junior, an ex-convict struggling to get his life back on track, is a product of this legacy. His younger brother Manny, the salutatorian of his high school class, embodies the hope of the future. On the night of his graduation party, Manny finds himself faced with an ill-fated decision that could change his life forever  Drama "
"Comedy, Romance, Science Fiction, Drama",time travel,en,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,What would you go back for?,Safety Not Guaranteed,6.8,"Safety Not Guaranteed Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel. What would you go back for? Comedy, Romance, Science Fiction, Drama time travel"
"Adventure, Fantasy, Action","gladiator, repayment, despot, barbarian, sword and sorcery",en,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",Thief. Warrior. Gladiator. King.,Conan the Barbarian,6.6,"Conan the Barbarian A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills. Thief. Warrior. Gladiator. King. Adventure, Fantasy, Action gladiator, repayment, despot, barbarian, sword and sorcery"
"Comedy, Drama","nurse, hospital, doctor, laughter",en,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.",Laughter is contagious,Patch Adams,7.0,"Patch Adams Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career. Laughter is contagious Comedy, Drama nurse, hospital, doctor, laughter"
"Drama, Romance","gay, countryside, homophobia, loss of lover, wyoming, rodeo, father murder, horseback riding, intolerance, daughter, marriage crisis, secret love, cowboy, star crossed lovers",en,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,Love is a force of nature.,Brokeback Mountain,7.5,"Brokeback Mountain Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live. Love is a force of nature. Drama, Romance gay, countryside, homophobia, loss of lover, wyoming, rodeo, father murder, horseback riding, intolerance, daughter, marriage crisis, secret love, cowboy, star crossed lovers"
"Comedy, Drama, Romance","soulmates, new love, platonic love, lovers, girlfriend, model student, friendship, motherly love, student movie, student, university, relationship",en,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.",Warning: Sex Changes Everything,Boys and Girls,5.4,"Boys and Girls Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops. Warning: Sex Changes Everything Comedy, Drama, Romance soulmates, new love, platonic love, lovers, girlfriend, model student, friendship, motherly love, student movie, student, university, relationship"
Drama,"london england, beatnik",en,"An American businessman visits London and is horrified to discover his nubile teenage daughter has become involved with a gang of thuggish ""beatniks"". Her involvement leads to wild parties, sex, death and necrophilia.",,The Party's Over,6.1,"The Party's Over An American businessman visits London and is horrified to discover his nubile teenage daughter has become involved with a gang of thuggish ""beatniks"". Her involvement leads to wild parties, sex, death and necrophilia.  Drama london england, beatnik"
"Comedy, Family","screenplay, film producer, auto, right and justice, liar, essay, intellectual property",en,"Fourteen-year-old Jason Shepherd (Muniz) has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf (Paul Giamatti) steals his class paper and turns it into a smash movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee (Bynes) devise a high-tech plan to squeeze the truth out of Wolf.",The truth is never overrated,Big Fat Liar,5.6,"Big Fat Liar Fourteen-year-old Jason Shepherd (Muniz) has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf (Paul Giamatti) steals his class paper and turns it into a smash movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee (Bynes) devise a high-tech plan to squeeze the truth out of Wolf. The truth is never overrated Comedy, Family screenplay, film producer, auto, right and justice, liar, essay, intellectual property"
